Title,Brand,Model,Price/Sq ft.,Price/Case,Store Pick Stock,Ship to Home Stock,Schedule Delivery Stock
7.13 in. W x 48.03 in. L Woodland Winter Park Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),MSI,Model #HD-LVR5012-0037,$2.59,$61.61,Null,Null,Null
Copperhill Multi-Width x 47.6 in. W L Click Lock Luxury Vinyl Plank Flooring (19.53 sq. ft./case),Lifeproof,Model #I1614110L,$3.69,$72.07,Null,Null,Null
Radiant Oak Multi-Width x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (19.53 sq. ft. / case),Lifeproof,Model #I127918L,$3.69,$72.07,Null,Null,Null
Stafford Oak Multi-Width x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (19.53 sq. ft. / case),Lifeproof,Model #I1148105L,$3.69,$72.07,Null,Null,Null
Texas Oak Multi-Width x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (19.53 sq. ft. / case),Lifeproof,Model #I127913L,$3.69,$72.07,Null,Null,Null
Walton Oak Multi-Width x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (19.53 sq. ft. / case),Lifeproof,Model #I127904L,$4.49,$87.66,123,Null,Null
7 in. W x 48 in. L Montage Grey Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),Home Decorators Collection,Model #MONTAG7X48-5MM,$2.99,$71.07,Null,Null,Null
Pelican Gray 7 in. W x 48 in. L Rigid Core Click Lock Luxury Vinyl Plank Flooring (23.77 sq. ft./case),Home Decorators Collection,Model #PELICA7X48-5MM,$3.49,$82.93,84,Null,Null
Alexandria Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I1449109L,$3.69,$74.02,Null,Null,Null
Balsam Wilderness 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./case),Lifeproof,Model #I1649114L,$3.69,$74.02,Null,Null,Null
Big Sur Cypress 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I062012L,$3.69,$74.02,Null,Null,Null
Burnt Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft./Case),Lifeproof,Model #I966103L,$4.49,$90.04,85,Null,Null
Chiffon Lace Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I412211L,$4.49,$90.04,334,Null,Null
Choice Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I966104L,$4.49,$90.04,313,Null,Null
Colorado 8.7 in. W x 47.64 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft.),Lifeproof,Model #I538104L,$3.69,$74.02,Null,Null,Null
Colorado 8.7 in. W x 47.64 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft.),Lifeproof,Model #I04229L,$3.69,$74.02,Null,Null,Null
Dusk Cherry 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I06204L,$4.49,$90.04,405,Null,Null
Easy Oak 8.7 in. W x 47.6 in. L Click Lock Luxury Vinyl Plank Flooring (20.06 sq. ft. / case),Lifeproof,Model #I96715L,$3.69,$74.02,Null,Null,Null
